module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,150,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaChallenge(id),/arena/challenge/<id>,ArenaChallengeDetailPage (/arena/challenge/:challengeId),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,153,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaCreator(id),/arena/creator/<id>,ArenaCreatorPage (/arena/creator/:creatorId),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,164,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaStudio,/arena/studio,ArenaStudioPage (/arena/studio),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,174,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaLeaderboard,/arena/leaderboard,ArenaLeaderboardPage (/arena/leaderboard),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,177,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaMode(id),/arena/mode/<id>,ArenaModeDetailPage (/arena/mode/:modeId),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,185,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaChallenge(id),/arena/challenge/<id>,ArenaChallengeDetailPage (/arena/challenge/:challengeId),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,189,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaGuide,/arena/guide,ArenaGuidePage (/arena/guide),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,193,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaCreator(id),/arena/creator/<id>,ArenaCreatorPage (/arena/creator/:creatorId),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,198,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.marketsPredictions,/markets/predictions,PredictionsHomePage (/markets/predictions),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,203,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaVerified,/arena/verified,VerifiedChallengesPage (/arena/verified),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,210,arena_home_page_hero_and_templates.dart,,context.goHaptic,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,365,arena_home_page_hero_and_templates.dart,Công cụ Arena,onNavigate,tool.route,,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_production_ready_page_screens_states_section.dart,93,arena_production_ready_page_screens_states_section.dart,,context.go,_resolvedRoute(route),,,dynamic_route_expression
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_production_ready_page_screens_states_section.dart,102,arena_production_ready_page_screens_states_section.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_production_ready_page_screens_states_section.dart,99,arena_production_ready_page_screens_states_section.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,141,my_arena_page.dart,,context.goHaptic,AppRoutePaths.arenaPoints,/arena/points,'${AppRoutePaths.rewards}?tab=arena' (/arena/points),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,143,my_arena_page.dart,Tạo thách đấu mới,context.goHaptic,AppRoutePaths.arenaLedger,/arena/ledger,ArenaPointsLedgerPage (/arena/ledger),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,144,my_arena_page.dart,Tạo thách đấu mới,context.goHaptic,'/rewards',/rewards,RewardsHubPage (/rewards),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,150,my_arena_page.dart,Tạo thách đấu mới,context.goHaptic,AppRoutePaths.arenaStudio,/arena/studio,ArenaStudioPage (/arena/studio),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,156,my_arena_page.dart,Tạo thách đấu mới,context.goHaptic,AppRoutePaths.arenaLeaderboard,/arena/leaderboard,ArenaLeaderboardPage (/arena/leaderboard),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,160,my_arena_page.dart,Tạo thách đấu mới,context.goHaptic,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,170,my_arena_page.dart,Tạo thách đấu mới,context.goHaptic,AppRoutePaths.arenaChallenge(id),/arena/challenge/<id>,ArenaChallengeDetailPage (/arena/challenge/:challengeId),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,174,my_arena_page.dart,,context.goHaptic,AppRoutePaths.arenaMode(id),/arena/mode/<id>,ArenaModeDetailPage (/arena/mode/:modeId),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,176,my_arena_page.dart,,context.goHaptic,AppRoutePaths.arenaStudio,/arena/studio,ArenaStudioPage (/arena/studio),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,178,my_arena_page.dart,,context.goHaptic,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,183,my_arena_page.dart,,context.goHaptic,AppRoutePaths.arenaStudio,/arena/studio,ArenaStudioPage (/arena/studio),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,187,my_arena_page.dart,,context.goHaptic,AppRoutePaths.arenaChallenge('sample'),/arena/challenge/sample,ArenaChallengeDetailPage (/arena/challenge/:challengeId),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,192,my_arena_page.dart,,context.goHaptic,AppRoutePaths.arenaMyReports,/arena/my-reports,MyArenaReportsPage (/arena/my-reports),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,196,my_arena_page.dart,,context.goHaptic,AppRoutePaths.arenaBlocked,/arena/blocked,ArenaBlockedUsersPage (/arena/blocked),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,198,my_arena_page.dart,,context.goHaptic,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,202,my_arena_page.dart,,context.goHaptic,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
arena,flutter_app/lib/features/arena/presentation/pages/points/arena_points_entry_detail_page.dart,177,arena_points_entry_detail_page.dart,,context.go,AppRoutePaths.arenaLedger,/arena/ledger,ArenaPointsLedgerPage (/arena/ledger),
arena,flutter_app/lib/features/arena/presentation/pages/points/arena_points_entry_detail_page.dart,174,arena_points_entry_detail_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/points/arena_points_ledger_page.dart,149,arena_points_ledger_page.dart,,context.go,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
arena,flutter_app/lib/features/arena/presentation/pages/points/arena_points_ledger_page.dart,193,arena_points_ledger_page.dart,,context.go,AppRoutePaths.arena,/arena,ArenaHomePage (/arena),
arena,flutter_app/lib/features/arena/presentation/pages/points/arena_points_ledger_page.dart,190,arena_points_ledger_page.dart,,context.pop,,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/studio/arena_creator_page.dart,125,arena_creator_page.dart,Thử lại | Không tải được hồ sơ creator,context.goHaptic,AppRoutePaths.arenaTrust(snapshot.creator.id),/arena/trust/<snapshot.creator.id>,ArenaTrustBreakdownPage (/arena/trust/:userId),
arena,flutter_app/lib/features/arena/presentation/pages/studio/arena_creator_page.dart,131,arena_creator_page.dart,Modes | Live Rooms | Lịch sử | Giới thiệu,context.goHaptic,AppRoutePaths.arenaTrust(snapshot.creator.id),/arena/trust/<snapshot.creator.id>,ArenaTrustBreakdownPage (/arena/trust/:userId),
arena,flutter_app/lib/features/arena/presentation/pages/studio/arena_creator_page.dart,153,arena_creator_page.dart,Modes | Live Rooms | Lịch sử | Giới thiệu,context.goHaptic,AppRoutePaths.arenaMode(id),/arena/mode/<id>,ArenaModeDetailPage (/arena/mode/:modeId),
arena,flutter_app/lib/features/arena/presentation/pages/studio/arena_creator_page.dart,155,arena_creator_page.dart,Live Rooms | Lịch sử | Giới thiệu,context.goHaptic,AppRoutePaths.arenaStudio,/arena/studio,ArenaStudioPage (/arena/studio),
arena,flutter_app/lib/features/arena/presentation/pages/studio/arena_creator_page.dart,157,arena_creator_page.dart,Giới thiệu,context.goHaptic,AppRoutePaths.arenaGuide,/arena/guide,ArenaGuidePage (/arena/guide),
arena,flutter_app/lib/features/arena/presentation/pages/studio/arena_creator_page.dart,162,arena_creator_page.dart,,context.goHaptic,AppRoutePaths.arenaSafety,/arena/safety,ArenaSafetyCenterPage (/arena/safety),
arena,flutter_app/lib/features/arena/presentation/pages/studio/arena_smart_rule_builder_page.dart,537,arena_smart_rule_builder_page.dart,,context.go,AppRoutePaths.arenaMy,/arena/my,MyArenaPage (/arena/my),
arena,flutter_app/lib/features/arena/presentation/pages/studio/arena_smart_rule_builder_page_review_submit.dart,542,arena_smart_rule_builder_page_review_submit.dart,,Navigator.of(context).pop,option,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/studio/arena_smart_rule_builder_page_review_submit.dart,587,arena_smart_rule_builder_page_review_submit.dart,,Navigator.of(context).pop,option,,,back_or_close_modal
arena,flutter_app/lib/features/arena/presentation/pages/studio/arena_smart_rule_builder_page_review_submit.dart,772,arena_smart_rule_builder_page_review_submit.dart,${draft.slotsTotal} slots | Clarity ${draft.clarityScore} | Kiểm tra lại | Xác nhận gửi,Navigator.of(context).pop,false,,,back_or_close_modal
