name,file_count,files
"_HistoryTab",4,"lib/features/arena/presentation/widgets/studio/arena_creator_tabs.dart; lib/features/earn_savings/presentation/widgets/savings/savings_notifications_history.dart; lib/features/trade_compliance/presentation/widgets/execution/slippage_monitoring_tabs.dart; lib/features/trade_compliance/presentation/widgets/governance/client_categorization_history_tab.dart"
"_HowItWorksCard",3,"lib/features/p2p_dispute/presentation/pages/dispute/p2p_insurance_fund_overview_cards.dart; lib/features/p2p_marketplace/presentation/widgets/hub/p2p_express_form_cards.dart; lib/features/trade_bots/presentation/widgets/backtest/bot_optimization_page_sections.dart"
"_IconBadge",5,"lib/features/dev/presentation/widgets/missing_screens_showcase_page_common.dart; lib/features/dev/presentation/widgets/performance_monitor_common.dart; lib/features/p2p_account/presentation/pages/merchant/p2p_merchant_apply_page_common.dart; lib/features/p2p_account/presentation/widgets/payment/p2p_payment_method_add_page_sections.dart; lib/features/p2p_security/presentation/widgets/security/p2p_security_center_actions_events.dart"
"_InfoCard",13,"lib/features/arena/presentation/pages/challenge/arena_challenge_detail_page_actions_and_shared_widgets.dart; lib/features/arena/presentation/widgets/governance/arena_safety_center_page_sections.dart; lib/features/dca/presentation/widgets/portfolio/dca_performance_compare_analysis.dart; lib/features/dca/presentation/widgets/schedule/dca_smart_rules_info_common.dart; lib/features/earn_savings/presentation/widgets/savings/savings_notification_preferences_delivery.dart; lib/features/markets/presentation/widgets/research/token_info_tabs_widgets.dart; lib/features/p2p_marketplace/presentation/widgets/ads/p2p_ad_detail_merchant_info.dart; lib/features/predictions/presentation/widgets/social/prediction_data_integration_common.dart; lib/features/trade_bots/presentation/widgets/settings/bot_api_documentation_support_common.dart; lib/features/trade_bots/presentation/widgets/settings/bot_guide_practices_videos.dart; lib/features/trade_bots/presentation/widgets/settings/bot_suitability_questions_info.dart; lib/features/trade_terminal/presentation/widgets/tools/advanced_analytics_page_shared.dart; lib/features/wallet/presentation/widgets/tools/wallet_health_score_cards.dart"
"_InfoNote",4,"lib/features/earn_staking/presentation/widgets/staking/staking_regulatory_framework_sheet_common.dart; lib/features/p2p_security/presentation/widgets/security/p2p_blacklist_common.dart; lib/features/trade/presentation/widgets/hub/trade_settings_page_common.dart; lib/features/trade_compliance/presentation/widgets/disclosures/performance_scenarios_outcome_widgets.dart"
"_InfoNotice",3,"lib/features/trade_compliance/presentation/widgets/client_money/investor_compensation_page_sections.dart; lib/features/trade_compliance/presentation/widgets/governance/client_categorization_page_chrome.dart; lib/features/wallet/presentation/widgets/transfer/pending_deposits_page_common.dart"
"_InfoPanel",4,"lib/features/trade_copy/presentation/widgets/analytics/performance_attribution_tabs.dart; lib/features/trade_copy/presentation/widgets/hub/copy_trading_card_demo_common.dart; lib/features/trade_copy/presentation/widgets/provider/provider_application_common.dart; lib/features/trade_copy/presentation/widgets/safety/safety_education_page_common.dart"
"_InfoRow",5,"lib/features/arena/presentation/pages/bridge/arena_prediction_bridge_foundation_page_examples_and_shared_widgets.dart; lib/features/arena/presentation/widgets/challenge/arena_join_page_sections.dart; lib/features/markets/presentation/widgets/research/token_info_tabs_widgets.dart; lib/features/p2p_orders/presentation/widgets/orders/p2p_escrow_detail_multisig_order.dart; lib/features/trade_compliance/presentation/widgets/client_money/investor_compensation_page_sections.dart"
"_IntroCard",4,"lib/features/trade_bots/presentation/widgets/backtest/bot_optimization_page_sections.dart; lib/features/trade_bots/presentation/widgets/settings/bot_api_documentation_intro_tabs.dart; lib/features/trade_terminal/presentation/widgets/tools/advanced_tools_overview.dart; lib/features/trade_terminal/presentation/widgets/tools/risk_management_overview.dart"
"_InvestmentCard",3,"lib/features/dca/presentation/widgets/research/dca_backtester_setup.dart; lib/features/trade_compliance/presentation/widgets/disclosures/ex_ante_costs_overview.dart; lib/features/trade_compliance/presentation/widgets/disclosures/performance_scenarios_intro_widgets.dart"
"_LeaderboardRow",3,"lib/features/arena/presentation/widgets/challenge/arena_leaderboard_rows_footer.dart; lib/features/referral/presentation/pages/referral_home_page_section_cards.dart; lib/features/rewards/presentation/widgets/rewards_hub_components.dart"
"_Legend",4,"lib/features/dca/presentation/widgets/portfolio/dca_performance_compare_primitives.dart; lib/features/launchpad/presentation/widgets/tools/launchpad_gas_tracker_estimator.dart; lib/features/markets/presentation/widgets/tools/market_derivatives_overview.dart; lib/features/trade_copy/presentation/widgets/hub/copy_trading_card_demo_common.dart"
"_LegendDot",6,"lib/features/arena/presentation/pages/governance/arena_guide_page_faq_shared_widgets.dart; lib/features/p2p_dispute/presentation/pages/dispute/p2p_insurance_fund_page_common.dart; lib/features/p2p_marketplace/presentation/widgets/ads/p2p_ad_analytics_charts_common.dart; lib/features/p2p_marketplace/presentation/widgets/ads/p2p_order_book_cards_lists.dart; lib/features/trade_compliance/presentation/widgets/client_money/arm_integration_sla_actions.dart; lib/features/trade_copy/presentation/widgets/provider/trader_profile_stats_common.dart"
"_LegendEntry",4,"lib/features/earn_staking/presentation/widgets/staking/staking_analytics_chart_shared.dart; lib/features/earn_staking/presentation/widgets/staking/staking_validator_health_monitor_page_common.dart; lib/features/markets/presentation/widgets/tools/comparison_tool_content.dart; lib/features/markets/presentation/widgets/tools/market_correlations_matrix_widgets.dart"
