module,file,call_site_family,variant,count,height_tier_px,width_mode,local_duplicate_classes,compliance,notes
earn_savings,earn_savings/presentation/widgets/phone/auto_compound_settings_settings_sheet.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_analytics_summary_range.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_autopilot_overview.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_savings,earn_savings/presentation/widgets/savings/savings_backtest_setup.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_backtest_setup.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_dca_summary.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_export_config_widgets.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_export_option_widgets.dart,VitPresetChipRow,preset_row,2,34,equal_full,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_faq_page_sections.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_guide_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_savings,earn_savings/presentation/widgets/savings/savings_history_page_sections.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_history_page_sections.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_home_products.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_home_products.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_ladder_common.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_ladder_common.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_savings,earn_savings/presentation/widgets/savings/savings_notification_preferences_summary.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
earn_savings,earn_savings/presentation/widgets/savings/savings_notifications_history.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_savings,earn_savings/presentation/widgets/savings/savings_portfolio_positions.dart,VitTabBar,pill_wrap,1,~28,wrap_hug,-,review,
earn_savings,earn_savings/presentation/widgets/savings/savings_recommendations_amount_panel.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_smart_suggestions_summary.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn_savings,earn_savings/presentation/widgets/savings/savings_smart_suggestions_summary.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_staking,earn_staking/presentation/phone/pages/staking/staking_analytics_page.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn_staking,earn_staking/presentation/phone/pages/staking/staking_audit_reports_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
